ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,Pagado,DEVOLUCIÓN,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,cl
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,,"109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,,"109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,,"109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,,"109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"115,79","5789,5",2025-151.pdf,10/07/2025,50,0,11-5,Finalizado,TRUE,FALSE,,"109,23","115,79","109,48",5474,Gaudia
05/Nov/25,50,"119,37","5968,5",2025-201.pdf,17/11/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3502,41","112,61","119,37","112,86",5643,Gaudia
05/Nov/25,50,"119,37","5968,5",2025-201.pdf,17/11/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3502,41","112,61","119,37","112,86",5643,Gaudia
05/Nov/25,50,"119,37","5968,5",2025-201.pdf,17/11/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3502,41","112,61","119,37","112,86",5643,Gaudia
05/Nov/25,50,"119,37","5968,5",2025-201.pdf,17/11/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3502,41","112,61","119,37","112,86",5643,Gaudia
18/Nov/25,50,"123,23","6161,5",2025-213.pdf,12/04/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3615,7","116,25","123,23","116,5",5825,Gaudia
18/Nov/25,50,"123,08",6154,2025-214.pdf,12/08/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3611,28","116,11","123,08","116,36",5818,Gaudia
18/Nov/25,50,"129,66",6483,2025-229.pdf,29/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3804,44","122,32","129,66","122,57","6128,5",Gaudia
18/Nov/25,50,"129,66",6483,2025-229.pdf,29/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3804,44","122,32","129,66","122,57","6128,5",Gaudia
23/dic/25,50,"129,66",6483,2025-229.pdf,29/12/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3804,44","122,32","129,66","122,57","6128,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
