,ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,pagado,DEVOLUCIÓN,FILTER,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,MGN
NJ,12/Mar/25,50,"91,4",4570,2025-28.pdf,3/12/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,264
NJ,12/Mar/25,50,"96,68",4834,2025-35_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2836,6","91,2","96,68","91,45","4572,5","261,5"
NJ,12/Mar/25,50,"96,68",4834,2025-35_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2836,6","91,2","96,68","91,45","4572,5","261,5"
NJ,12/Mar/25,50,"96,68",4834,2025-35_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2836,6","91,2","96,68","91,45","4572,5","261,5"
NJ,02/abr/2025,50,"96,68",4834,2025-35_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2836,6","91,2","96,68","91,45","4572,5","261,5"
NJ,02/abr/2025,50,"96,68",4834,2025-35_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2836,6","91,2","96,68","91,45","4572,5","261,5"
NJ,02/abr/2025,50,"96,63","4831,5",2025-36_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2835,2","91,16","96,63","91,41","4570,5",261
NJ,02/abr/2025,50,"96,63","4831,5",2025-36_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2835,2","91,16","96,63","91,41","4570,5",261
NJ,02/abr/2025,50,"96,63","4831,5",2025-36_NovaJoia.pdf,4/03/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2835,2","91,16","96,63","91,41","4570,5",261
NJ,08/abr/25,50,"93,97","4698,5",2025-42.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-42.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-43.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-43.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-43.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-44.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-44.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-44.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-45.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-45.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,08/abr/25,50,"93,97","4698,5",2025-45.pdf,4/08/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,97","88,65","93,97","88,9",4445,"253,5"
NJ,07/May/25,50,"98,96",4948,2025-57.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,35","98,96","93,6",4680,268
NJ,07/May/25,50,"98,96",4948,2025-57.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,36","98,97","93,61","4680,5","267,5"
NJ,07/May/25,50,"98,96",4948,2025-58.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,36","98,97","93,61","4680,5","267,5"
NJ,07/May/25,50,"98,96",4948,2025-58.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,36","98,97","93,61","4680,5","267,5"
NJ,07/May/25,50,"98,96",4948,2025-59.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,36","98,97","93,61","4680,5","267,5"
NJ,07/May/25,50,"98,96",4948,2025-59.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,36","98,97","93,61","4680,5","267,5"
NJ,07/May/25,50,"98,96",4948,2025-60.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,36","98,97","93,61","4680,5","267,5"
NJ,07/May/25,50,"98,96",4948,2025-60.pdf,5/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2903,65","93,36","98,97","93,61","4680,5","267,5"
NJ,07/May/25,50,"96,44",4822,2025-63.pdf,15/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2829,79","90,98","96,44","91,23","4561,5","260,5"
NJ,07/May/25,50,"96,44",4822,2025-63.pdf,15/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2829,79","90,98","96,44","91,23","4561,5","260,5"
NJ,07/May/25,50,"96,44",4822,2025-64.pdf,15/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2829,79","90,98","96,44","91,23","4561,5","260,5"
NJ,07/May/25,50,"96,44",4822,2025-64.pdf,15/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2829,79","90,98","96,44","91,23","4561,5","260,5"
NJ,23/May/25,50,"99,33","4966,5",2025-65.pdf,27/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2913,96","93,7","99,33","93,95","4697,5",269
