Paquete,Cliente,Tipo genero,Nº Paquete,bruto,Total Fra,Fixing,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,Expedición,P.V. Jof Cierre,Fra a Jofisa,Margen
E49_19,OrCash,Lingote Chatarra,19,518.14,€37299.20,€104.21,5.00%,360.54,4.50%,€37571.60,€35693.02,360.54,E49,€103.96,€37481.46,1788.4
E49_20,Nova Joia,Chatarra,20,308.80,€22279.06,,6.50%,219.25,4.50%,€22801.79,€21319.68,219.25,E49,,€22801.79,1482.1
E50_1,Gaudia,Lingote Chatarra 18K,1,404.79,€32705.21,€106.17,5.00%,310.30,4.50%,€32944.05,€31296.85,310.30,E50,€106.00,€32891.30,1594.5
E50_2,Gemma d'Or,Or inversion lingot o lámina de mes de 995,2,403.60,€40119.86,€105.75,6.00%,403.60,0.00%,€42680.70,€40119.86,403.60,E50,€105.50,€42579.80,2459.9
E50_3,Gemma d'Or,Chatarra,3,161.10,€15164.84,€105.87,6.50%,146.60,4.50%,€15520.65,€14511.81,146.60,E50,€105.62,€15484.00,972.2
E50_4,Gaudia,Lingote Chatarra 18K,4,208.40,€15570.56,€106.30,5.00%,147.55,4.50%,€15684.27,€14900.05,147.55,E50,€106.05,€15647.38,747.3
E50_5,Gaudia,Lingote Chatarra 18K,5,617.83,€50638.16,€116.61,5.00%,437.42,4.50%,€51007.97,€48457.57,437.42,E50,€116.28,€50863.62,2406.0
E50_6,La Milla d'Or,Chatarra,6,342.07,€25465.37,€108.65,6.50%,249.88,4.50%,€26062.86,€24368.78,239.88,E50,€108.40,€27086.89,2718.1
E50_7,Gemma d'Or,Lingote Chatarra 18K,7,235.90,€18540.41,€111.72,6.50%,169.85,4.50%,€18975.42,€17742.02,169.85,E50,€111.47,€18932.96,1190.9
E50_8,La Milla d'Or,Chatarra,8,242.55,€20065.85,€113.00,6.50%,181.74,4.50%,€20536.65,€19201.77,181.74,E50,€112.75,€20491.22,1289.4
E50_9,OrCash,Chatarra,9,126.85,€13188.93,€116.52,5.00%,114.02,4.50%,€13285.24,€12620.98,114.02,E50,€116.27,€13256.74,635.8
E50_10,OrCash,Chatarra,10,91.73,€9592.50,€119.47,5.00%,80.88,4.50%,€9662.55,€9179.43,80.88,E50,€119.22,€9642.33,462.9
E50_11,Nova Joia,Chatarra,11,635.38,€54235.91,€118.91,6.50%,466.81,4.50%,€55508.44,€51900.39,466.81,E50,€118.66,€55391.73,3491.3
E50_12,Gaudia,Lingote Chatarra 18K,12,445.88,€37146.63,€118.53,5.00%,315.68,4.50%,€37417.91,€35547.02,315.68,E50,€118.28,€37338.99,1792.0
E50_13,Gemma d'Or,Lingote Chatarra 18K,13,401.50,€32952.23,€117.05,6.50%,288.13,4.50%,€33725.38,€31533.23,288.13,E50,€116.80,€33653.35,2120.1
E51_1,Alquimia,Lingote Chatarra 18K,1,57.56,€5177.25,€118.08,6.50%,44.87,4.50%,€5298.72,€4954.30,44.87,E51,€117.83,€5287.50,333.2
E50_15,OrCash,Lingote Chatarra 18K,15,599.46,€49875.28,€116.78,6.50%,437.11,4.50%,€51045.50,€47727.54,437.11,E50,€116.53,€50936.22,3208.7
